name,domain,street1,street2,city,state,zip,country,hq_phone,linkedin_url,primary_naics,naics_code,sic_code,primary_sector,sector,primary_industry,industry,keywords,finance_department_size,hr_department_size,it_department_size,legal_department_size,marketing_department_size,operations_department_size,procurement_department_size,rnd_department_size,sales_department_size,accuracy_tier,company_id,year_founded,Artificial Intelligence & Machine Learning (Category),Other Emerging Technology (Category),"ABBYY Solutions, Ltd. (Provider)",Enertia Software (Provider),"Kofax, Ltd. (Provider)",NVIDIA Corporation (Provider),"OpenAI, LLC (Provider)",Tungsten Automation Corporation (Provider),HyperScience (Product),OpenText Captiva (Product),OpenText Intelligent Capture (Product),last_funding_round,last_funding_date,last_funding_amount,total_funding_amount
Advancing Eco Agriculture,advancingecoag.com,,,Middlefield,OH,44062-9345,US,(440) 693-4173,linkedin.com/company/advancingecoag,11,11,1; 2; 7; 8; 9,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","b2b, b2c, fulfillment center data set, logistics data set",6,,6,,4,13,2,5,16,Human Verified,1634995,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Grant,12/19/24,3800000,3800000
Select Milk Producers,selectmilk.com,5151 Belt Line Rd,,Dallas,TX,,US,(575) 746-6698,linkedin.com/company/select-milk-producers,1121,1121,21,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Dairy & Animal Farming,Dairy & Animal Farming,"b2c, fulfillment center data set, logistics data set",4,,5,,4,11,1,4,12,Human Verified,1794174,1994,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Other,7/14/25,30000000,30000000
"QC Supply, A PS Operating Company LLC",qcsupply.com,574 Road 11,,Schuyler,NE,68661-0581,US,(888) 433-5275,linkedin.com/company/qcsupply,4532,4594; 4532; 11,1; 2; 7; 8; 9; 50; 51; 59; 504; 511; 519; 594,Retail Trade,"Retail Trade; Agriculture, Forestry, Fishing and Hunting",Miscellaneous Store Retailers,"Miscellaneous Store Retailers; Agriculture, Forestry, Fishing and Hunting","b2b, b2c, building supplies, buildings, consumer products, ecommerce, equipments, industrial, industrial machinery, industrial supplies, shippers, supplies",3,3,13,,6,43,1,10,24,Human Verified,1457983,1982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
River Valley Cooperative,rivervalleycoop.com,254 E 90th St,,Davenport,IA,52806-7341,US,(563) 285-7820,linkedin.com/company/river-valley-cooperative,111199,111199,1; 2; 7; 8; 9; 11; 119; 13; 18; 19,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Crop Farming,Crop Farming,"agronomic, b2b, b2c, energies, feeds, fulfillment center data set, logistics data set",13,1,14,,10,31,4,12,37,Human Verified,1476513,1906,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
"Alliance Ag & Grain, Llc",aaggllc.com,,,Spearville,KS,,US,,linkedin.com/company/allianceag,11,11,1; 2; 7; 8; 9,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",,2,,3,,2,6,1,2,7,Human Verified,77542648,2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
National Sorghum Producers,sorghumgrowers.com,4201 N Interstate 27,,Lubbock,TX,79403-7507,US,(806) 749-3478,linkedin.com/company/national-sorghum-producers,8132,8132; 11,1; 2; 7; 8; 9; 67; 83; 673; 839,Other Services (except Public Administration),"Other Services (except Public Administration); Agriculture, Forestry, Fishing and Hunting",Nonprofit and Charitable Organizations,"Nonprofit and Charitable Organizations; Agriculture, Forestry, Fishing and Hunting","b2b, b2c, energies, energy policy, legislative, policies, regulatory",1,,2,,2,9,,1,6,Human Verified,1517348,1955,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Sukup Manufacturing Company,sukup.com,1555 255th Street,,Sheffield,IA,50475-0677,US,(641) 892-4222,linkedin.com/company/sukup-manufacturing-co-,1119,1119,1; 2; 7; 8; 9; 19,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Crop Farming,Crop Farming,"b2b, buildings, fabrication, steel, steel buildings, steel fabrication, distribution center-warehouse data set",25,2,27,1,20,59,7,22,69,Human Verified,1806260,1963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Farmers Cooperative,farmersco-operative.com,208 W Depot St,,Dorchester,NE,68343,US,(402) 946-4631,linkedin.com/company/farmers-cooperative,4245,4245; 11,1; 2; 7; 8; 9; 51; 515,Wholesale Trade,"Wholesale Trade; Agriculture, Forestry, Fishing and Hunting",Farm Product Raw Material Merchant Wholesalers,"Farm Product Raw Material Merchant Wholesalers; Agriculture, Forestry, Fishing and Hunting","b2b, b2c, carriers, distribution center-warehouse data set",13,8,24,,16,61,1,18,100,Human Verified,1213872,1903,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Revol Greens,revolgreens.com,,,Owatonna,MN,55049,US,,linkedin.com/company/revol-greens,111422,112990; 111422,1; 2; 7; 8; 9; 18; 181; 27; 279,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",Crop Farming,Dairy & Animal Farming; Crop Farming,"animals, b2b, b2c, chemicals, environments, facilities, fulfillment center data set, greenhouse, irrigation, logistics data set, nutrition, technology, waters",7,,7,,5,16,2,6,18,Human Verified,35445141,2017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Private Equity,9/25/20,68000000,136000000
"Hiland Dairy Foods Company, LLC",hilanddairy.com,1133 E Kearney St,,Springfield,MO,65803-3435,US,(417) 862-9311,linkedin.com/company/hilanddairyfoods,1121,3115; 1121,21; 20; 202,"Agriculture, Forestry, Fishing and Hunting","Manufacturing; Agriculture, Forestry, Fishing and Hunting",Dairy & Animal Farming,"Food, Beverage, and Tobacco Manufacturing; Dairy & Animal Farming","b2b, b2c, carriers, consumer product goods, consumer products, consumers, dairy, distribution center-warehouse data set, fermentation, goods, ice cream, manufacturing center-plant data set, milk, shippers",18,2,42,1,19,66,5,34,85,Human Verified,1269717,1938,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
